PID,Arrival,Burst,Start,End,Turnaround,Waiting
0,0.0,0.00649673221154028,0.03979938365079554,0.04629611586233583,0.0,0.0
1,0.1,0.8318283093593457,0.07552202626747666,1.5393046973198414,1.5,0.6
2,0.1,0.46608919318335046,0.09131698592474002,0.7232713476177591,0.6,0.2
3,0.2,0.16586516850966868,0.21894662683948568,0.38481179534915433,0.2,-0.0
4,0.5,0.9643133468391081,1.5585527610558785,9.043075919575049,8.5,7.5
5,1.5,0.01924806373603699,1.5393046973198414,1.5585527610558785,0.0,0.0
6,1.8,1.933665453171938,151.0928031506669,153.02646860383882,151.3,149.3
7,1.8,0.37844384773392004,1.773315646173532,2.151759493907452,0.4,0.0
8,1.9,0.41476548066554453,2.3373481219208188,2.7521136025863635,0.9,0.5
9,2.1,0.18558862801336665,2.151759493907452,2.3373481219208188,0.2,0.0
10,2.9,0.5379784169829294,2.9256451795771454,3.5186235933609233,0.6,0.1
11,3.0,0.05499999680084842,3.0201891108032655,3.075189107604114,0.1,0.0
12,3.4,0.2612702701112965,3.7645821497677803,4.025852419879077,0.7,0.4
13,3.5,0.24595855640685674,3.5186235933609233,3.7645821497677803,0.3,0.0
14,3.6,0.508481003939567,4.025852419879077,4.5343334238186435,0.9,0.4
15,4.4,1.5063046216529006,126.1884485526647,127.6947531743176,123.3,121.8
16,4.4,0.5204307752950602,4.5343334238186435,5.8321641734742915,1.4,0.9
17,4.7,0.3221391671313093,4.660782462615232,4.982921629746541,0.3,0.0
18,4.7,0.30651332514615387,4.982921629746541,5.379845422558775,0.6,0.3
19,5.0,0.09041046766607932,4.998903781546931,5.08931424921301,0.1,0.0
20,5.3,0.5517948207042322,6.333896668517411,6.885691489221644,1.5,1.0
21,5.4,0.006320283450923493,5.389334539579637,5.3956548230305605,0.0,0.0
22,5.4,0.5943483049163345,9.567440504508406,10.307846065187752,4.9,4.3
23,5.5,0.50173249504312,5.8321641734742915,6.333896668517411,0.8,0.3
24,5.6,0.05201673096612069,5.6179231838571555,5.669939914823276,0.1,-0.0
25,6.7,0.5594399852443787,6.885691489221644,7.445131474466023,0.7,0.2
26,6.9,0.5655660042853193,7.445131474466023,8.010697478751343,1.1,0.6
27,7.7,0.6613499060983152,10.809696558288904,11.528307417535453,3.8,3.1
28,7.9,0.11160377255833377,8.010697478751343,8.122301251309677,0.2,0.1
29,8.0,1.6121608124340752,137.0887930249825,138.70095383741656,130.7,129.1
30,8.1,0.34475578353469877,8.122301251309677,8.467057034844377,0.4,0.0
31,8.1,0.7361122260722409,13.700356855188646,14.872645125189234,6.8,6.0
32,8.1,1.4289915557613084,120.32539551411702,121.75438706987833,113.6,112.2
33,8.8,0.5243645849333569,9.043075919575049,9.567440504508406,0.7,0.2
34,9.3,0.6907366543975126,12.003734690957575,12.694471345355089,3.3,2.7
35,9.8,0.1460572557630109,9.776704859872687,9.922762115635699,0.1,0.0
36,9.9,0.501850493101152,10.307846065187752,10.809696558288904,0.9,0.4
37,11.0,0.05726095314823372,10.957142279212135,11.014403232360369,0.1,-0.0
38,11.2,0.4754272734221217,11.528307417535453,12.003734690957575,0.8,0.3
39,12.4,0.7162310866273928,12.694471345355089,13.700356855188646,1.3,0.5
40,12.6,1.392037429403278,44.34139138668748,51.140258695254666,38.5,37.1
41,12.7,0.2896544232061666,12.718525573714231,13.008179996920397,0.3,-0.0
42,13.0,1.4993239335027253,124.68912461916197,126.1884485526647,113.2,111.7
43,13.8,0.034237202531349875,13.789713288319687,13.823950490851036,0.0,-0.0
44,14.0,0.16575842837438212,13.967730559274695,14.257202651125395,0.3,0.1
45,14.0,0.12371366347631789,13.979314055507173,14.10302771898349,0.1,-0.0
46,14.2,1.1060176874604843,14.872645125189234,18.02154888574427,3.8,2.7
47,14.4,1.8547403567518916,147.34630400952753,149.20104436627943,134.8,132.9
48,14.6,0.11246674954629898,14.573419835081676,14.685886584627974,0.1,-0.0
49,15.0,0.29425667288492546,15.00608558059076,15.300342253475685,0.3,-0.0
50,15.1,0.36723634087152396,15.300342253475685,15.667578594347209,0.6,0.2
51,15.7,0.20440663763002664,15.694438599502675,15.8988452371327,0.2,-0.0
52,15.7,1.6027623135794822,133.87896536380924,135.48172767738873,119.7,118.1
53,16.0,0.06393997264133583,15.967354835120954,16.03129480776229,0.1,0.0
54,16.1,0.11178182844657879,16.077683260413245,16.189465088859823,0.1,-0.0
55,16.2,1.5184115714925324,127.6947531743176,129.21316474581013,113.1,111.5
56,16.3,0.11327234770509097,16.27999597740117,16.393268325106263,0.1,0.0
57,16.5,0.3381239797855879,16.516513074028964,17.08870719086718,0.6,0.2
58,16.5,0.23407013705262772,16.530739485431468,16.764809622484094,0.2,-0.0
59,16.6,0.907873472256009,18.375043944625325,19.44738505087088,2.9,2.0
60,17.4,0.1334866240838202,17.379925569556697,17.513412193640516,0.1,-0.0
61,17.5,0.35349505888105687,18.02154888574427,18.375043944625325,0.8,0.5
62,17.6,0.18231153199304045,17.62580857317846,17.8081201051715,0.2,-0.0
63,17.9,1.7414827836748694,143.7847006061797,145.5261833898546,127.7,125.9
64,18.2,2.2254789473953362,157.2359935570023,159.46147250439765,141.3,139.1
65,19.1,0.16446763398954542,19.104932303447196,19.26939993743674,0.2,0.0
66,19.3,1.3793346544823748,19.44738505087088,44.34139138668748,25.0,23.6
67,19.5,0.26817614560581743,19.47615425130158,19.744330396907397,0.3,0.0
68,19.5,0.46263474732416754,19.78606312426874,20.481524993160445,1.0,0.5
69,19.7,1.1095408093377932,22.744508969682247,27.85995958880564,8.1,7.0
70,19.7,2.56887866445639,159.46147250439765,162.03035116885403,142.3,139.7
71,19.7,0.041732727361343494,19.744330396907397,19.78606312426874,0.0,0.0
72,20.0,0.2228107421533265,19.980330207451324,20.213157329018863,0.2,0.0
73,20.0,0.010016379414209835,20.01952443123265,20.02954081064686,0.0,0.0
74,20.3,0.2882535983765153,20.64622961936513,20.934483217741644,0.7,0.4
75,20.4,0.5183316290154235,20.934483217741644,21.907573343577518,1.5,1.0
76,20.4,0.16470462620468385,20.481524993160445,20.64622961936513,0.3,0.1
77,21.1,0.23658409175694292,21.099452938847374,21.336037030604317,0.2,-0.0
78,21.3,0.21817440506350924,21.336037030604317,21.554211435667824,0.2,0.0
79,21.5,0.5178710214121893,21.907573343577518,22.42544436498971,0.9,0.4
80,22.2,0.3190646046925382,22.42544436498971,22.744508969682247,0.5,0.2
81,22.7,1.661772784301087,138.70095383741656,140.36272662171766,117.7,116.0
82,22.8,0.26069340644265043,22.794457297743957,23.05515070418661,0.3,0.0
83,22.9,0.9191342237284184,23.903529447595545,25.906102096171523,3.1,2.1
84,22.9,0.7570128884377334,23.05515070418661,23.903529447595545,1.0,0.3
85,23.4,0.09136585497120371,23.429550563081957,23.52091641805316,0.1,0.0
86,24.0,0.4667685738628366,23.952461434611276,24.419230008474113,0.5,-0.0
87,24.4,0.15959633201412313,24.419230008474113,24.578826340488234,0.2,0.0
88,24.6,0.3543575113542697,24.57920487987865,25.03627839884925,0.5,0.1
89,24.6,0.10271600761633387,24.649750031063896,24.75246603868023,0.1,-0.0
90,26.0,0.8942650113580347,25.992138057516076,26.88640306887411,0.9,-0.0
91,26.3,2.0182920361625554,153.02646860383882,155.04476064000139,128.7,126.7
92,26.9,1.2019908179934675,28.82071661971485,35.44013211977639,8.6,7.4
93,27.5,0.5163635710167922,27.85995958880564,28.44900293603732,0.9,0.4
94,28.0,0.37171368367752927,28.44900293603732,28.82071661971485,0.8,0.4
