PID,Arrival,Burst,Start,End,Turnaround,Waiting
0,0.0,0.00649673221154028,0.03979938365079554,0.04629611586233583,0.0,0.0
1,0.1,0.8318283093593457,0.07552202626747666,1.9393046973198413,1.9,1.0
2,0.1,0.46608919318335046,0.4755220262674767,1.9074763879604957,1.8,1.4
3,0.2,0.16586516850966868,0.8755220262674768,1.0413871947771454,0.8,0.7
4,0.5,0.9643133468391081,1.4413871947771453,4.741898580443122,4.2,3.2
5,1.5,0.01924806373603699,1.9393046973198413,1.9585527610558784,0.4,0.4
6,1.8,1.933665453171938,1.9585527610558784,14.446083688133626,12.7,10.8
7,1.8,0.37844384773392004,2.3585527610558783,2.7369966087897986,1.0,0.6
8,1.9,0.41476548066554453,3.1369966087897985,5.263892887626819,3.4,3.0
9,2.1,0.18558862801336665,3.5369966087897984,3.722585236803165,1.6,1.4
10,2.9,0.5379784169829294,4.1225852368031655,7.00187130460975,4.1,3.5
11,3.0,0.05499999680084842,4.522585236803166,4.577585233604014,1.6,1.5
12,3.4,0.2612702701112965,4.741898580443122,5.0031688505544185,1.7,1.4
13,3.5,0.24595855640685674,5.0031688505544185,5.249127406961275,1.7,1.5
14,3.6,0.508481003939567,5.263892887626819,9.087752282909905,5.5,5.0
15,4.4,1.5063046216529006,6.06389288762682,21.019106346863403,16.7,15.2
16,4.4,0.5204307752950602,6.4638928876268205,10.408183058204967,6.0,5.4
17,4.7,0.3221391671313093,7.00187130460975,7.32401047174106,2.7,2.3
18,4.7,0.30651332514615387,7.32401047174106,7.630523796887214,2.9,2.6
19,5.0,0.09041046766607932,7.630523796887214,7.720934264553294,2.7,2.6
20,5.3,0.5517948207042322,7.720934264553294,13.016337435002235,7.7,7.1
21,5.4,0.006320283450923493,8.120934264553293,8.127254548004217,2.7,2.7
22,5.4,0.5943483049163345,8.127254548004217,13.210685739918569,7.8,7.2
23,5.5,0.50173249504312,8.527254548004217,13.712418234961689,8.2,7.7
24,5.6,0.05201673096612069,8.927254548004218,8.979271278970339,3.4,3.3
25,6.7,0.5594399852443787,9.887752282909906,15.551580929141018,8.8,8.3
26,6.9,0.5655660042853193,10.408183058204967,15.717146933426337,8.8,8.3
27,7.7,0.6613499060983152,10.808183058204968,16.435757792672884,8.7,8.0
28,7.9,0.11160377255833377,11.208183058204968,11.319786830763302,3.4,3.3
29,8.0,1.6121608124340752,11.319786830763302,50.83632466078439,42.9,41.2
30,8.1,0.34475578353469877,11.719786830763303,12.064542614298002,4.0,3.6
31,8.1,0.7361122260722409,12.064542614298002,17.571870018745123,9.5,8.7
32,8.1,1.4289915557613084,12.464542614298002,39.44070195476797,31.3,29.9
33,8.8,0.5243645849333569,13.210685739918569,19.18588902688464,10.4,9.8
34,9.3,0.6907366543975126,13.712418234961689,19.800334975664207,10.5,9.8
35,9.8,0.1460572557630109,14.446083688133626,14.592140943896638,4.8,4.7
36,9.9,0.501850493101152,14.992140943896638,21.78244985372101,11.9,11.4
37,11.0,0.05726095314823372,15.717146933426337,15.77440788657457,4.8,4.8
38,11.2,0.4754272734221217,15.77440788657457,23.038005565861067,11.8,11.4
39,12.4,0.7162310866273928,16.835757792672883,24.839703117031764,12.4,11.7
40,12.6,1.392037429403278,17.571870018745123,52.86718625632738,40.2,38.8
41,12.7,0.2896544232061666,17.971870018745122,18.261524441951288,5.5,5.3
42,13.0,1.4993239335027253,18.661524441951286,55.16275981663108,42.2,40.7
43,13.8,0.034237202531349875,19.18588902688464,19.220126229415992,5.4,5.4
44,14.0,0.16575842837438212,19.220126229415992,19.385884657790374,5.4,5.3
45,14.0,0.12371366347631789,19.385884657790374,19.509598321266694,5.5,5.4
46,14.2,1.1060176874604843,19.800334975664207,43.34121376864271,29.1,28.0
47,14.4,1.8547403567518916,20.200334975664205,79.99000593052467,65.5,63.7
48,14.6,0.11246674954629898,20.600334975664204,20.712801725210504,6.1,6.0
49,15.0,0.29425667288492546,21.019106346863403,21.31336301974833,6.3,6.0
50,15.1,0.36723634087152396,21.31336301974833,21.680599360619855,6.6,6.3
51,15.7,0.20440663763002664,21.78244985372101,21.986856491351034,6.3,6.1
52,15.7,1.6027623135794822,21.986856491351034,83.9551524041962,68.2,66.6
53,16.0,0.06393997264133583,22.386856491351033,22.45079646399237,6.5,6.4
54,16.1,0.11178182844657879,22.45079646399237,22.562578292438946,6.5,6.4
55,16.2,1.5184115714925324,22.562578292438946,65.41918795914927,49.3,47.7
56,16.3,0.11327234770509097,23.038005565861067,23.151277913566158,6.9,6.8
57,16.5,0.3381239797855879,23.151277913566158,23.489401893351747,7.0,6.6
58,16.5,0.23407013705262772,23.489401893351747,23.723472030404373,7.2,7.0
59,16.6,0.907873472256009,23.723472030404373,50.82416384835032,34.2,33.3
60,17.4,0.1334866240838202,24.839703117031764,24.973189741115583,7.6,7.5
61,17.5,0.35349505888105687,24.973189741115583,25.326684799996638,7.8,7.4
62,17.6,0.18231153199304045,25.326684799996638,25.508996331989678,7.9,7.7
63,17.9,1.7414827836748694,25.508996331989678,89.37200103042184,71.5,69.8
64,18.2,2.2254789473953362,26.308996331989675,126.78044527306602,108.6,106.4
65,19.1,0.16446763398954542,27.50899633198967,27.673463965979217,8.6,8.4
66,19.3,1.3793346544823748,27.673463965979217,73.86369493067772,54.5,53.2
67,19.5,0.26817614560581743,28.073463965979215,28.341640111585033,8.9,8.6
68,19.5,0.46263474732416754,28.341640111585033,41.14773016198455,21.6,21.2
69,19.7,1.1095408093377932,28.74164011158503,56.84130783992197,37.1,36.0
70,19.7,2.56887866445639,29.14164011158503,151.4535249859019,131.7,129.1
71,19.7,0.041732727361343494,29.54164011158503,29.58337283894637,9.8,9.8
72,20.0,0.2228107421533265,29.58337283894637,29.8061835810997,9.8,9.6
73,20.0,0.010016379414209835,29.8061835810997,29.81619996051391,9.8,9.8
74,20.3,0.2882535983765153,30.216199960513908,30.50445355889042,10.3,10.0
75,20.4,0.5183316290154235,30.50445355889042,44.68256913326372,24.3,23.8
76,20.4,0.16470462620468385,30.90445355889042,31.069158185095105,10.7,10.5
77,21.1,0.23658409175694292,31.469158185095104,31.705742276852046,10.6,10.4
78,21.3,0.21817440506350924,31.705742276852046,31.923916681915554,10.6,10.4
79,21.5,0.5178710214121893,31.923916681915554,46.42430663947684,24.9,24.4
80,22.2,0.3190646046925382,32.323916681915556,32.64298128660809,10.4,10.1
81,22.7,1.661772784301087,33.04298128660809,113.70143651758582,91.0,89.3
82,22.8,0.26069340644265043,33.44298128660809,33.703674693050736,10.9,10.6
83,22.9,0.9191342237284184,33.703674693050736,64.69889584756835,41.8,40.9
84,22.9,0.7570128884377334,34.103674693050735,49.13312141602123,26.2,25.5
85,23.4,0.09136585497120371,34.90367469305073,34.99504054802193,11.6,11.5
86,24.0,0.4667685738628366,34.99504054802193,50.31629037609431,26.4,25.9
87,24.4,0.15959633201412313,35.79504054802193,35.954636880036055,11.5,11.4
88,24.6,0.3543575113542697,36.354636880036054,36.70899439139033,12.1,11.8
89,24.6,0.10271600761633387,36.70899439139033,36.811710399006664,12.2,12.1
90,26.0,0.8942650113580347,37.21171039900666,68.07116055007508,42.1,41.2
91,26.3,2.0182920361625554,38.01171039900666,146.00353461449257,119.7,117.6
92,26.9,1.2019908179934675,38.81171039900666,99.36269504915695,72.5,71.3
93,27.5,0.5163635710167922,39.44070195476797,54.58632056078807,27.1,26.6
94,28.0,0.37171368367752927,40.240701954767964,40.61241563844549,12.6,12.2
95,28.2,0.0380976781609699,41.01241563844549,41.05051331660646,12.9,12.8
96,28.4,0.03458209805391703,41.05051331660646,41.08509541466038,12.7,12.7
97,28.8,0.4823476845333509,41.14773016198455,56.53176703058418,27.7,27.2
98,29.5,0.0592149896405962,41.947730161984545,42.00694515162514,12.5,12.5
99,29.7,0.7784980008415913,42.40694515162514,57.70266965887322,28.0,27.2
100,30.1,0.22825092955709386,42.806945151625136,43.03519608118223,13.0,12.7
101,30.6,1.2143638305300153,43.34121376864271,105.3038449451495,74.7,73.5
102,30.8,0.7123279697659749,43.74121376864271,58.41499762863919,27.6,26.9
103,30.8,0.02302373560558945,44.14121376864271,44.1642375042483,13.3,13.3
104,30.8,0.7133405581132284,44.1642375042483,58.72833818675242,27.9,27.2
105,31.1,0.47371497791098693,44.68256913326372,59.378421031823876,28.3,27.8
106,31.5,0.5361354154186038,45.482569133263716,61.59085693714132,30.1,29.6
107,31.7,0.023866484800935926,45.882569133263715,45.90643561806465,14.3,14.2
108,31.7,1.1591698070726018,45.90643561806465,81.67656880279259,50.0,48.8
109,32.5,0.4832859555319846,46.42430663947684,62.0741428926733,29.5,29.1
110,32.5,0.3682358627033197,46.82430663947684,47.19254250218016,14.6,14.3
111,33.0,0.3723861681626902,47.19254250218016,47.56492867034285,14.6,14.2
112,33.1,0.011179857240646067,47.96492867034285,47.9761085275835,14.9,14.9
113,34.9,0.6080043113557035,49.53312141602123,65.62719227050498,30.7,30.1
114,35.1,0.151616092241465,49.93312141602123,50.0847375082627,15.0,14.8
115,35.4,0.16478429396877087,50.0847375082627,50.24952180223147,14.9,14.7
116,35.5,0.9077969231978662,50.31629037609431,88.50682320400598,53.0,52.1
117,36.7,0.35995538618556133,50.83632466078439,51.19628004696995,14.5,14.1
118,37.4,0.2788687799541525,51.59628004696995,51.875148826924104,14.5,14.2
119,37.8,0.9039856933445256,52.2751488269241,92.05854495789636,54.3,53.4
120,39.0,1.3974013301656403,53.667186256327376,130.39044206125044,91.4,90.0
121,39.7,0.002770733443903428,54.46718625632737,54.469956989771276,14.8,14.8
