PID,Arrival,Burst,Start,End,Turnaround,Waiting
0,0.0,0.00649673221154028,0.03979938365079554,0.04629611586233583,0.0,0.0
1,0.1,0.8318283093593457,0.07552202626747666,0.9073503356268223,0.8,0.0
2,0.1,0.46608919318335046,0.9073503356268223,1.3734395288101728,1.3,0.8
3,0.2,0.16586516850966868,1.3734395288101728,1.5393046973198414,1.3,1.2
4,0.5,0.9643133468391081,1.5393046973198414,2.5036180441589497,2.0,1.0
5,1.5,0.01924806373603699,2.5036180441589497,2.5228661078949868,1.0,1.0
6,1.8,1.933665453171938,2.5228661078949868,4.4565315610669245,2.7,0.8
7,1.8,0.37844384773392004,4.4565315610669245,4.834975408800845,3.1,2.7
8,1.9,0.41476548066554453,4.834975408800845,5.2497408894663895,3.4,3.0
9,2.1,0.18558862801336665,5.2497408894663895,5.435329517479756,3.3,3.1
10,2.9,0.5379784169829294,5.435329517479756,5.973307934462685,3.0,2.5
11,3.0,0.05499999680084842,5.973307934462685,6.028307931263534,3.0,3.0
12,3.4,0.2612702701112965,6.028307931263534,6.28957820137483,2.9,2.7
13,3.5,0.24595855640685674,6.28957820137483,6.535536757781687,3.0,2.8
14,3.6,0.508481003939567,6.535536757781687,7.044017761721253,3.5,2.9
15,4.4,1.5063046216529006,7.044017761721253,8.550322383374153,4.2,2.7
16,4.4,0.5204307752950602,8.550322383374153,9.070753158669213,4.6,4.1
17,4.7,0.3221391671313093,9.070753158669213,9.392892325800522,4.7,4.4
18,4.7,0.30651332514615387,9.392892325800522,9.699405650946677,5.0,4.7
19,5.0,0.09041046766607932,9.699405650946677,9.789816118612755,4.8,4.7
20,5.3,0.5517948207042322,9.789816118612755,10.341610939316988,5.0,4.4
21,5.4,0.006320283450923493,10.341610939316988,10.347931222767912,5.0,5.0
22,5.4,0.5943483049163345,10.347931222767912,10.942279527684246,5.5,4.9
23,5.5,0.50173249504312,10.942279527684246,11.444012022727366,5.9,5.4
24,5.6,0.05201673096612069,11.444012022727366,11.496028753693487,5.9,5.8
25,6.7,0.5594399852443787,11.496028753693487,12.055468738937865,5.3,4.8
26,6.9,0.5655660042853193,12.055468738937865,12.621034743223184,5.7,5.2
27,7.7,0.6613499060983152,12.621034743223184,13.2823846493215,5.5,4.9
28,7.9,0.11160377255833377,13.2823846493215,13.393988421879834,5.5,5.4
